COUNTRY,pop_density,annual_precip,NRI,depend_ratio,variability,dam_cap,dam_cap_percap,withdrawl,ag_withdrawl,ind_withdrawl,mun_withdrawl,withdrawl_percap,surface_withdrawl,ground_withdrawl,fresh_withdrawl,water_stress,irrig_actual,ag_area,harvest_total,harvest_temp,harvest_perm,irrig_intensity,flood,drink_total,drink_rural,drink_urban,SPI (2017),SPI_basic_human,SPI_found,SPI_opp,LAC_hazard,LAC_vuln,LAC_cope,democracy,EPI.current,HLT.current,ECO.current,GDP_2015,population_2015,land_area,inland_water,inland_water_percent,GDP_percap,muni_withdrawl_percap,ag_area_percent,Position.Assistant.Professor,Position.Associate.Professor,Position.Government.employee,Position.Graduate.student,Position.Other,Position.Post.doc,Position.Professor,Position.Researcher,Affiliation.Government.agency,Affiliation.National.lab,Affiliation.Non.governmental.organization,Affiliation.University,Discipline.Agricultural.science.Natural.resources,Discipline.Atmospheric.science...meteorology,Discipline.Biological.Biomedical.sciences,Discipline.Chemistry,Discipline.Computer...information.sciences,Discipline.Engineering,Discipline.Geological...earth.sciences,Discipline.Health.sciences,Discipline.Humanities,Discipline.Mathematics...statistics,Discipline.Ocean.marine.sciences,Discipline.Physics,Discipline.Social.sciences,Journals.Conference.proceedings,Journals.International.journals,Journals.National.research.system.database.journals,Journals.University,Funding.Government,Funding.Industry,Funding.Non.governmental.organizations,Position.Assistant.Professor.pct,Position.Associate.Professor.pct,Position.Government.employee.pct,Position.Graduate.student.pct,Position.Other.pct,Position.Post.doc.pct,Position.Professor.pct,Position.Researcher.pct,Affiliation.Government.agency.pct,Affiliation.National.lab.pct,Affiliation.Non.governmental.organization.pct,Affiliation.University.pct,Discipline.Agricultural.science.Natural.resources.pct,Discipline.Atmospheric.science...meteorology.pct,Discipline.Biological.Biomedical.sciences.pct,Discipline.Chemistry.pct,Discipline.Computer...information.sciences.pct,Discipline.Engineering.pct,Discipline.Geological...earth.sciences.pct,Discipline.Health.sciences.pct,Discipline.Humanities.pct,Discipline.Mathematics...statistics.pct,Discipline.Ocean.marine.sciences.pct,Discipline.Physics.pct,Discipline.Social.sciences.pct,Journals.Conference.proceedings.pct,Journals.International.journals.pct,Journals.National.research.system.database.journals.pct,Journals.University.pct,Funding.Government.pct,Funding.Industry.pct,Funding.Non.governmental.organizations.pct
Cuba,103.7,1335,1103,0,2.3,9.384,827.3,6.959,64.94,10.63,24.43,611,4.314,2.644,6.959,25.62,88.2,557.6,491.8,423.7,68.1,100,3,94.9,89.8,96.4,69.32,87,71.93,49.04,5.7,3.6,4.2,0.2161,63.42,75.76,55.2,87133000000,11461432,11574,586,0.050630724,7602.278668,148,0.048176948,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0
Dominica,96.91,2083,,0,,,,0.02,5,0,95,279,0.02,0,0.02,10,,0.2,,,,,3.6,94.4,91.8,95.7,,,,,3.6,4.4,3.3,0,59.38,69.45,52.67,540830666.7,73162,75,,,7392.234585,260,0.002666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,216.3,1410,820.9,0,1.5,2.301,218.6,7.156,79.86,8.189,11.95,704.7,,0.386,7.137,43.73,100,306.5,296.2,256.2,39.98,137,3.7,84.7,81.9,85.4,65.66,75.41,71.87,49.7,6.1,5.6,6.9,0.6582,64.71,64.86,64.61,68802092021,10528394,4903,36,0.007342443,6534.908555,81,0.062512747,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Ecuador,62.97,2274,2575,0,2.8,7.692,476.5,9.918,81.43,5.535,13.04,698.2,,,9.916,3.736,62.8,1500,666.3,409.4,257,107.5,3.2,86.9,75.5,93.4,69.3,79.54,74.62,53.72,6.6,6.2,6.2,0.6895,57.42,72.58,47.31,99290381000,16144368,26438,801,0.030297299,6150.155955,80.1,0.056736516,1,6,1,3,4,1,14,8,1,2,3,32,10,2,2,0,0,6,9,3,0,0,1,0,5,0,38,0,0,30,0,8,0.0263157895,0.1578947368,0.0263157895,0.0789473684,0.1052631579,0.0263157895,0.3684210526,0.2105263158,0.0263157895,0.0526315789,0.0789473684,0.8421052632,0.2631578947,0.0526315789,0.0526315789,0,0,0.1578947368,0.2368421053,0.0789473684,0,0,0.0263157895,0,0.1315789474,0,1,0,0,0.7894736842,0,0.2105263158
El Salvador,291.2,1784,1434,40.5,3.5,3.879,633.1,2.118,67.56,10.06,22.38,353.8,1.483,0.635,2.118,11.37,74.82,45.23,33.84,20.26,2.082,100,3.8,93.8,86.5,97.5,64.94,75.48,71.97,47.36,8.3,5,7.7,0.7404,53.91,63.99,47.19,23166030400,6312478,2136,32,0.014981273,3669.878992,75.1,0.021175094,0,0,0,1,0,0,1,3,1,3,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0.2,0,0,0.2,0.6,0.2,0.6,0,0.2,0,0,0.2,0,0,0.2,0,0.6,0,0,0,0,0,0,1,0,0,0.8,0,0.2
Grenada,314.1,2350,,0,,2E-05,0.1873,0.0141,14.89,0,85.11,132,0.0131,0.001,0.0141,7.05,100,0.365,0.365,0.365,0,100,,96.6,95.3,99,,,,,1,3.2,4.1,0,50.93,69.82,38.34,997007925.9,125890949,34,,,7.919615618,0.0953,0.010735294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,150.1,1996,2216,14.63,3.1,0.4638,28.38,3.324,56.74,18.14,25.12,240.9,,,3.324,3.761,100,337.5,352,249.2,102.9,112.8,3.5,92.8,86.8,98.4,60.28,70.88,68.12,41.84,8.5,8.3,8.1,0.7436,52.33,54.97,50.57,63767597194,16252429,11062,173,0.015639125,3923.573344,51.4,0.030509854,0,0,0,0,1,0,1,1,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0.3333333333,0,0.3333333333,0.3333333333,0.6666666667,0,0,0.3333333333,0.6666666667,0,0,0,0,0.3333333333,0,0,0,0,0,0,0,0.3333333333,0.3333333333,0,0.3333333333,1,0,0
Guyana,3.568,2387,2177,11.07,2.1,0.8092,1055,1.445,94.33,1.412,4.242,1905,,,1.445,0.8622,89.16,143,179,177,2,140.4,2.4,98.3,98.3,98.2,61.52,75.73,57.63,51.21,4,5.9,6.3,0,47.93,61.55,38.86,3197222215,768514,23309,1812,0.077738213,4160.265415,79.8,0.006134969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,386,1440,1226,7.237,1.9,0.297,27.73,1.45,83.38,3.517,13.1,140.9,,,1.45,15.64,71.5,97,109.5,100.5,9,,3.9,57.7,47.6,64.9,,46.69,,36.41,7.7,8.3,8.3,0.4262,33.74,45.24,26.08,8724656126,10711061,2794,19,0.006800286,814.5463952,17.7,0.034717251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,71.78,1976,1618,1.632,2.9,5.805,718.9,1.607,73.3,7.094,19.6,225.3,1.443,0.164,1.607,2.494,92.92,89.7,87.43,59.33,28.11,88.2,3.6,91.2,83.8,97.4,58.18,70.32,59.55,44.66,8.3,8.1,8.1,0.6335,51.51,55.95,48.54,20979767785,8960829,11309,60,0.005305509,2341.27532,35.1,0.007931736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica,254.1,2051,1328,0,,0.0055,1.969,0.812,55.17,9.36,35.47,300.2,0.074,0.8535,0.8115,11.34,100,30.68,30.68,20.68,10,100,3.5,93.8,89.4,97.5,,79.92,,61.79,5.9,4.2,6.6,0.784,58.58,68.48,51.98,14145469269,2871934,1115,16,0.014349776,4925.415859,100,0.027515695,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5
Mexico,65.75,758,1052,11.53,3.1,150,1241,86.58,76.29,9.183,14.53,670.3,52.35,33.31,86.58,32.48,86.06,6460,5967,4285,1682,100.3,2.9,96.1,92.1,97.2,69.97,80.82,73.04,56.06,8.4,5.6,5.1,0.6844,59.69,66.04,55.46,1170000000000,125890949,198480,2042.5,0.010290709,9293.757886,99.9,0.03254736,2,5,6,5,11,2,80,144,19,66,7,163,54,7,32,7,2,25,53,6,4,2,33,1,29,6,222,14,13,238,2,15,0.0078431373,0.0196078431,0.0235294118,0.0196078431,0.0431372549,0.0078431373,0.3137254902,0.5647058824,0.0745098039,0.2588235294,0.0274509804,0.6392156863,0.2117647059,0.0274509804,0.1254901961,0.0274509804,0.0078431373,0.0980392157,0.2078431373,0.0235294118,0.0156862745,0.0078431373,0.1294117647,0.0039215686,0.1137254902,0.0235294118,0.8705882353,0.0549019608,0.0509803922,0.9333333333,0.0078431373,0.0588235294
Nicaragua,46.65,2280,2013,5.051,2.9,32.01,5263,1.545,76.7,4.764,18.51,262.9,,,1.545,1.349,72.38,199.1,144.1,110.3,33.8,100,3.6,87,69.4,99.3,63.34,75.15,69.17,45.71,6.8,5.6,7.4,0.5579,55.04,62.2,50.27,12611087031,6082035,14040,1003,0.071438746,2073.497938,47,0.014180912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,52.09,2928,2461,1.941,2.4,9.137,2326,1.037,43.01,0.9643,56.03,277,,,1.037,1.049,100,32.14,44.68,42.5,1.207,139,2.8,94.7,88.6,97.7,72.38,82.06,75.92,59.17,4.1,5.2,5.3,0.7796,62.71,66.96,59.87,54091713776,3969249,7650,108,0.014117647,13627.69475,146,0.004201307,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Paraguay,16.32,1130,1228,69.83,2.1,33.53,5050,2.413,78.62,6.382,15,378.3,1.969,0.444,2.413,0.9331,100,136.2,136.2,135.4,0.81,100,3.3,98,94.9,100,64.82,79.6,65.84,49.03,3.5,4.5,6.5,0.6775,53.93,58.1,51.15,36164068797,6639119,41620.4,945.2,0.022710017,5447.118631,54.5,0.003272434,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Peru,24.41,1738,2229,12.7,2.9,5.773,184,13.66,88.73,2.116,9.18,452.9,11.8,1.765,13.56,1.161,70.08,2580,1124,975.1,148.9,101.4,2.8,86.7,69.2,91.4,69.89,78.51,76.76,54.41,5.8,6.2,6.1,0.7536,61.92,56.49,65.53,190000000000,31376671,129044,522,0.004045132,6055.454385,39.7,0.019993181,1,4,1,1,0,2,5,6,2,4,3,11,7,1,3,1,0,3,1,0,2,0,2,0,0,2,14,1,3,17,0,3,0.05,0.2,0.05,0.05,0,0.1,0.25,0.3,0.1,0.2,0.15,0.55,0.35,0.05,0.15,0.05,0,0.15,0.05,0,0.1,0,0.1,0,0,0.1,0.7,0.05,0.15,0.85,0,0.15
St. Kitts and Nevis,213.7,1427,,0,,,,0.0156,1.282,0,98.72,290.8,0.0046,0.0076,0.0123,51.25,,0.025,0.025,0.025,0,,,98.3,98.3,98.3,,,,,3.8,3.4,5.6,0,,,,936314411.5,54288,26,,,17247.17086,224,0.000961538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lucia,298.4,2301,,0,,0.003,16.58,0.0429,70.86,0,29.14,252.1,,,0.0429,14.3,,3,,,,,3.6,96.3,95.6,99.5,,,,,3.2,3.2,4.4,0,56.18,71.03,46.28,1622436704,177206,63,1,0.015873016,9155.65333,70.5,0.047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,280.8,1583,,0,,,,0.0085,0,0.0235,100,77.63,0.0079,0,0.0079,11.17,,0.478,,,,,3.6,95.1,95.1,95.1,,,,,3.3,3.9,3.5,0,66.48,67.38,65.88,755458031.4,109455,39,,,6901.996541,72.2,0.01225641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,3.315,2331,1848,0,2.6,20,36832,0.6159,70,22,8.005,1229,0.5666,0.0493,0.6159,0.9565,100,57,57,55,2,100,1.4,94.8,88.4,98.1,67.18,77.06,64.8,59.69,2.8,2.7,5.4,0,54.2,62.46,48.68,4767414748,553208,17164,782,0.045560475,8617.76176,89.1,0.003320904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,265.1,2200,1839,0,,0.0715,52.57,0.3832,4.358,33.64,62,285.5,0.2284,0.1078,0.3362,12.33,71.43,7,,,,,2.2,95.1,95.1,95.1,0,82.85,0,59.45,3.8,2.9,6.4,0.745,67.36,81.44,57.96,24401734195,1360092,513,,,17941.23794,153,0.013645224,0,1,0,0,0,0,1,3,1,0,0,4,0,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,0,4,0,1,0,0.2,0,0,0,0,0.2,0.6,0.2,0,0,0.8,0,0,0.2,0,0,0,0.2,0,0,0,0.6,0,0,0,1,0,0,0.8,0,0.2
Uruguay,19.48,1300,1550,46.46,1.1,17.15,4997,3.66,86.61,2.186,11.2,1100,3.52,0.14,3.66,3.523,100,238,262.8,227.6,14.16,110.4,3,99.7,93.9,100,79.61,86.61,79,73.22,2.1,3.1,2.8,0.8369,64.65,84.72,51.27,53274304222,3431552,17742,120,0.006763612,15524.84247,119,0.013414497,5,1,0,0,1,2,3,5,0,2,1,14,5,0,3,3,0,0,1,0,0,0,5,0,0,0,17,0,0,16,0,1,0.2941176471,0.0588235294,0,0,0.0588235294,0.1176470588,0.1764705882,0.2941176471,0,0.1176470588,0.0588235294,0.8235294118,0.2941176471,0,0.1764705882,0.1764705882,0,0,0.0588235294,0,0,0,0.2941176471,0,0,0,1,0,0,0.9411764706,0,0.0588235294
