"X","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source.app","rec.number","foreign.keys","ref.type","contributors","titles","periodical","pages","volume","number","dates","publisher","isbn","notes","urls","electronic.resource.num","pdfs","Country.1","Country.2","Country.3","Country.4","Country.5","Country.6","Country.7","Country.8"
697,0,"H. van Haren, C. Berndt, I. Klaucke","Ocean mixing in deep-sea trenches: New insights from the Challenger Deep, Mariana Trench",2017,"Deep-Sea Research Part I: Oceanographic Research Papers",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029528388&partnerID=40&md5=b67c932fbbc897da6cfe7e80dc1a5e74",NA,697,"8/10/2018","Article","10.1016/j.dsr.2017.09.003",NA,NA,129,NA,1,9,0,0,0,3,1,"english","in corpus","DOI present","english.enl","EndNote",3332,3332,2,"Haren, H. vanBerndt, C.Klaucke, I.","Ocean mixing in deep-sea trenches: New insights from the Challenger Deep, Mariana Trench",NA,"1-9",NA,"Query date: 2018-08-10",2017,NA,NA,"129","https://www.scopus.com/inward/record.url?eid=2-s2.0-85029528388&partnerID=40&md5=b67c932fbbc897da6cfe7e80dc1a5e74https://ac.els-cdn.com/S0967063716304307/1-s2.0-S0967063716304307-main.pdf?_tid=a23e0563-db18-4e72-af66-3b059187e193&acdnat=1534100439_4445b41d5e1bfb2abea7732d372a4375internal-pdf://0182470240/Haren-2017-Ocean mixing in deep-sea trenches_.pdf","10.1016/j.dsr.2017.09.003","0182470240/Haren-2017-Ocean mixing in deep-sea trenches_.pdf","0","","","","","","",""
27534,4,"Fabiola S. Sosa-Rodriguez","Impacts of Water-management Decisions on the Survival of a City: From Ancient Tenochtitlan to Modern Mexico City",2010,"INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT",NA,NA,NA,4130,"8/10/2018","Journal article","10.1080/07900627.2010.519503",NA,NA,26,4,675,687,4,0.5,4,1,8,"english","in corpus","DOI present","english.enl","EndNote",16596,16596,17,"Sosa-Rodriguez, Fabiola S.","Impacts of Water-management Decisions on the Survival of a City: From Ancient Tenochtitlan to Modern Mexico CityINTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT","INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT","675-687",26,"4",2010,NA,NA,"Cited By (since 2010): 4","NAhttps://www.tandfonline.com/doi/pdf/10.1080/07900627.2010.519503?needAccess=trueinternal-pdf://0482600221/Sosa-Rodriguez-2010-Impacts of Water-managemen.pdf","10.1080/07900627.2010.519503","0482600221/Sosa-Rodriguez-2010-Impacts of Water-managemen.pdf","Mexico","","","","","","",""
17301,22,"G Sylaios, V Theocharis","Hydrology and nutrient enrichment at two coastal lagoon systems in Northern Greece",2002,"WATER RESOURCES MANAGEMENT",NA,NA,NA,3194,"8/10/2018","Journal article","10.1023/A:1020278003138",NA,NA,16,3,171,196,22,1.38,11,2,16,"english","in corpus","DOI present","english.enl","EndNote",13088,13088,17,"Sylaios, G.Theocharis, V.","Hydrology and nutrient enrichment at two coastal lagoon systems in Northern GreeceWATER RESOURCES MANAGEMENT","WATER RESOURCES MANAGEMENT","171-196",16,"3",2002,NA,NA,"Cited By (since 2002): 22","NAhttps://link.springer.com/content/pdf/10.1023%2FA%3A1020278003138.pdfinternal-pdf://1928743948/Sylaios-2002-Hydrology and nutrient enrichment.pdf","10.1023/A:1020278003138","1928743948/Sylaios-2002-Hydrology and nutrient enrichment.pdf","0","","","","","","",""
4640,10,"K.S. Sealey, J. Smith","Recycling for small island tourism developments: Food waste composting at Sandals Emerald Bay, Exuma, Bahamas",2014,"Resources, Conservation and Recycling",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907520833&partnerID=40&md5=c89217483896beaee5cb097240c5b9ed",NA,4645,"8/10/2018","Article","10.1016/j.resconrec.2014.08.008",NA,NA,92,NA,25,37,10,2.5,5,2,4,"english","in corpus","DOI present","english.enl","EndNote",18523,18523,2,"Sealey, K. S.Smith, J.","Recycling for small island tourism developments: Food waste composting at Sandals Emerald Bay, Exuma, Bahamas",NA,"25-37",NA,"Query date: 2018-08-10",2014,NA,NA,"92
Cited By (since 2014): 10","https://www.scopus.com/inward/record.url?eid=2-s2.0-84907520833&partnerID=40&md5=c89217483896beaee5cb097240c5b9edhttps://ac.els-cdn.com/S0921344914001773/1-s2.0-S0921344914001773-main.pdf?_tid=4cf70a18-3aba-4b12-b7a3-b4873bcf1789&acdnat=1534193391_837518e9237620b518b478b07e5c3507internal-pdf://3336479439/Sealey-2014-Recycling for small island tourism.pdf","10.1016/j.resconrec.2014.08.008","3336479439/Sealey-2014-Recycling for small island tourism.pdf","Bahamas","","","","","","",""
7110,25,"F. Bedmar, P.E. Daniel, J.L. Costa, D. GimÈnez","Sorption of acetochlor, S-metolachlor, and atrazine in surface and subsurface soil horizons of Argentina",2011,"Environmental Toxicology and Chemistry",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80054836575&partnerID=40&md5=3adb70253fb2a4cd4e9eb81f74cb57fa",NA,7115,"8/10/2018","Article","10.1002/etc.602",NA,NA,30,9,1990,1996,25,3.57,6,4,7,"english","in corpus","DOI present","english.enl","EndNote",21999,21999,2,"Bedmar, F.Daniel, P. E.Costa, J. L.GimÈnez, D.","Sorption of acetochlor, S-metolachlor, and atrazine in surface and subsurface soil horizons of Argentina",NA,"1990-1996",NA,"Query date: 2018-08-10",2011,NA,NA,"30
Cited By (since 2011): 25","https://www.scopus.com/inward/record.url?eid=2-s2.0-80054836575&partnerID=40&md5=3adb70253fb2a4cd4e9eb81f74cb57fahttps://setac.onlinelibrary.wiley.com/doi/pdf/10.1002/etc.602internal-pdf://3570023666/Bedmar-2011-Sorption of acetochlor, S-metolach.pdf","10.1002/etc.602","3570023666/Bedmar-2011-Sorption of acetochlor, S-metolach.pdf","Argentina","","","","","","",""
4809,3,"A.S. Pacheco, G.E. GÛmez, P.A. Santoro, M. Malebran, C. CortÈs, J.M. Riascos","Moon phase effects and timing of emerging macrobenthic assemblages in a sheltered soft-bottom sublittoral habitat",2014,"Journal of Sea Research",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84888239862&partnerID=40&md5=6421291d07e29c2dc8365b2f04716786",NA,4814,"8/10/2018","Article","10.1016/j.seares.2013.11.001",NA,NA,86,NA,34,42,3,0.75,1,6,4,"english","in corpus","DOI present","english.enl","EndNote",19169,19169,2,"Pacheco, A. S.GÛmez, G. E.Santoro, P. A.Malebran, M.CortÈs, C.Riascos, J. M.","Moon phase effects and timing of emerging macrobenthic assemblages in a sheltered soft-bottom sublittoral habitat",NA,"34-42",NA,"Query date: 2018-08-10",2014,NA,NA,"86
Cited By (since 2014): 3","https://www.scopus.com/inward/record.url?eid=2-s2.0-84888239862&partnerID=40&md5=6421291d07e29c2dc8365b2f04716786https://ac.els-cdn.com/S1385110113002177/1-s2.0-S1385110113002177-main.pdf?_tid=40ebb909-0c2f-4e97-a533-9926da51478d&acdnat=1534181913_78c2b6a7840d89a0aad53ebe77337cd8internal-pdf://2322101293/Pacheco-2014-Moon phase effects and timing of.pdf","10.1016/j.seares.2013.11.001","2322101293/Pacheco-2014-Moon phase effects and timing of.pdf","Chile","","","","","","",""
3811,1,"R. Da De Vicq Ferreira Costa, M.G.P. Leite, F.P.C. MendonÁa, H.A. Nalini","Geochemical mapping of arsenic in surface waters and stream sediments of the quadril·tero ferrÌfero, brazil | Mapeamento geoquÌmico do arsÍnio em ·guas superficiais e sedimentos fluviais no Quadril·tero FerrÌfero, Brasil",2015,"Revista Escola de Minas",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84925703376&partnerID=40&md5=78cc5abe446a1c6fcbce5420376283de",NA,3815,"8/10/2018","Article","10.1590/0370-44672015680077",NA,NA,68,1,43,51,1,0.33,0,4,3,"english","in corpus","DOI present","english.enl","EndNote",15455,15455,2,"Costa, R. Da De Vicq FerreiraLeite, M. G. P.MendonÁa, F. P. C.Nalini, H. A.","Geochemical mapping of arsenic in surface waters and stream sediments of the quadril·tero ferrÌfero, brazil | Mapeamento geoquÌmico do arsÍnio em ·guas superficiais e sedimentos fluviais no Quadril·tero FerrÌfero, Brasil",NA,"43-51",NA,"Query date: 2018-08-10",2015,NA,NA,"68
Cited By (since 2015): 1","https://www.scopus.com/inward/record.url?eid=2-s2.0-84925703376&partnerID=40&md5=78cc5abe446a1c6fcbce5420376283dehttp://www.scielo.br/pdf/rem/v68n1/0370-4467-rem-68-01-0043.pdfinternal-pdf://0887958848/Costa-2015-Geochemical mapping of arsenic in s.pdf","10.1590/0370-44672015680077","0887958848/Costa-2015-Geochemical mapping of arsenic in s.pdf","Brazil","","","","","","",""
1004,3,"D. Herwartz, J. Surma, C. Voigt, S. Assonov, M. Staubwasser","Triple oxygen isotope systematics of structurally bonded water in gypsum",2017,"Geochimica et Cosmochimica Acta",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018784098&partnerID=40&md5=d0eb5fcb516f6cf3a19c7247fb7f35fc",NA,1004,"8/10/2018","Article","10.1016/j.gca.2017.04.026",NA,NA,209,NA,254,266,3,3,1,5,1,"english","in corpus","DOI present","english.enl","EndNote",4583,4583,2,"Herwartz, D.Surma, J.Voigt, C.Assonov, S.Staubwasser, M.","Triple oxygen isotope systematics of structurally bonded water in gypsum",NA,"254-266",NA,"Query date: 2018-08-10",2017,NA,NA,"209
Cited By (since 2017): 3","https://www.scopus.com/inward/record.url?eid=2-s2.0-85018784098&partnerID=40&md5=d0eb5fcb516f6cf3a19c7247fb7f35fchttps://ac.els-cdn.com/S0016703717302491/1-s2.0-S0016703717302491-main.pdf?_tid=6de2d827-ebeb-45bc-b00b-47aaaa5d682a&acdnat=1534101547_1edfb587d36869a0fb0ca6a22adc07a2internal-pdf://3496291404/Herwartz-2017-Triple oxygen isotope systematic.pdf","10.1016/j.gca.2017.04.026","3496291404/Herwartz-2017-Triple oxygen isotope systematic.pdf","Chile","","","","","","",""
19025,0,"Celia Gutierrez-Gomez, Eugenio Carrillo-Avila, Cesare Landeros-Sanchez, Domingo Coh-Mendez, Avelardo Monsalvo-Espinosa, Jesus Arreola-Enriquez, Jose Pimentel-Lopez","Soil moisture tension as an alternative for improving sustainable use of irrigation water for habanero chilies (Capsicum chinense Jacq.)",2018,"AGRICULTURAL WATER MANAGEMENT",NA,NA,NA,99,"8/10/2018","Journal article","10.1016/j.agwat.2018.03.038",NA,NA,204,NA,28,37,0,0,0,7,1,"english","in corpus","DOI present","english.enl","EndNote",497,497,17,"Gutierrez-Gomez, CeliaCarrillo-Avila, EugenioLanderos-Sanchez, CesareCoh-Mendez, DomingoMonsalvo-Espinosa, AvelardoArreola-Enriquez, JesusPimentel-Lopez, Jose","Soil moisture tension as an alternative for improving sustainable use of irrigation water for habanero chilies (Capsicum chinense Jacq.)AGRICULTURAL WATER MANAGEMENT","AGRICULTURAL WATER MANAGEMENT","28-37",204,NA,2018,NA,NA,NA,"NAhttps://ac.els-cdn.com/S0378377418302828/1-s2.0-S0378377418302828-main.pdf?_tid=14eab768-75c1-4513-9d31-9ac7004fec55&acdnat=1534099821_bd7c99fb0423bd244408bcfac7efdfeeinternal-pdf://2379732450/Gutierrez-Gomez-2018-Soil moisture tension as.pdf","10.1016/j.agwat.2018.03.038","2379732450/Gutierrez-Gomez-2018-Soil moisture tension as.pdf","Mexico","","","","","","",""
12077,51,"W. Barrella, M. Petrere Jr.","Fish community alterations due to pollution and damming in TietÍ and Paranapanema Rivers (Brazil)",2003,"River Research and Applications",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0037259626&partnerID=40&md5=d96d74eb580ed04da8aadb800d917d47",NA,12084,"8/10/2018","Article","10.1002/rra.697",NA,NA,19,1,59,76,51,3.4,26,2,15,"english","in corpus","DOI present","english.enl","EndNote",26966,26966,2,"Barrella, W.Jr, M. Petrere","Fish community alterations due to pollution and damming in TietÍ and Paranapanema Rivers (Brazil)",NA,"59-76",NA,"Query date: 2018-08-10",2003,NA,NA,"19
Cited By (since 2003): 51","https://www.scopus.com/inward/record.url?eid=2-s2.0-0037259626&partnerID=40&md5=d96d74eb580ed04da8aadb800d917d47https://onlinelibrary.wiley.com/doi/pdf/10.1002/rra.697internal-pdf://0412810720/Barrella-2003-Fish community alterations due t.pdf","10.1002/rra.697","0412810720/Barrella-2003-Fish community alterations due t.pdf","Brazil","","","","","","",""
3131,0,"H. Marotta, A. Enrich-Prast","Catastrophic shifts in the aquatic primary production revealed by a small low-flow section of tropical downstream after dredging",2015,"Brazilian journal of biology = Revista brasleira de biologia",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982793341&partnerID=40&md5=81908bb05e68f51dd7b2b6e44652f1ab",NA,3131,"8/10/2018","Article","10.1590/1519-6984.23213",NA,NA,75,4,804,811,0,0,0,2,3,"english","in corpus","DOI present","english.enl","EndNote",12849,12849,2,"Marotta, H.Enrich-Prast, A.","Catastrophic shifts in the aquatic primary production revealed by a small low-flow section of tropical downstream after dredging",NA,"804-811",NA,"Query date: 2018-08-10",2015,NA,NA,"75","https://www.scopus.com/inward/record.url?eid=2-s2.0-84982793341&partnerID=40&md5=81908bb05e68f51dd7b2b6e44652f1abhttp://www.scielo.br/pdf/bjb/v75n4/1519-6984-bjb-1519-698423213.pdfinternal-pdf://3231353996/Marotta-2015-Catastrophic shifts in the aquati.pdf","10.1590/1519-6984.23213","3231353996/Marotta-2015-Catastrophic shifts in the aquati.pdf","Brazil","","","","","","",""
16945,70,"M Taniguchi, WC Burnett, CF Smith, RJ Paulsen, D O'Rourke, SL Krupa, JL Christoff","Spatial and temporal distributions of submarine groundwater discharge rates obtained from various types of seepage meters at a site in the Northeastern Gulf of Mexico",2003,"BIOGEOCHEMISTRY",NA,NA,NA,2783,"8/10/2018","Journal article","10.1023/B:BIOG.0000006090.25949.8d",NA,NA,66,1,35,53,70,4.67,10,7,15,"english","in corpus","DOI present","english.enl","EndNote",11513,11513,17,"Taniguchi, M.Burnett, W. C.Smith, C. F.Paulsen, R. J.O'Rourke, D.Krupa, S. L.Christoff, J. L.","Spatial and temporal distributions of submarine groundwater discharge rates obtained from various types of seepage meters at a site in the Northeastern Gulf of MexicoBIOGEOCHEMISTRY","BIOGEOCHEMISTRY","35-53",66,"1",2003,NA,NA,"Cited By (since 2003): 70","NAhttps://link.springer.com/content/pdf/10.1023%2FB%3ABIOG.0000006090.25949.8d.pdfinternal-pdf://0296101647/Taniguchi-2003-Spatial and temporal distributi.pdf","10.1023/B:BIOG.0000006090.25949.8d","0296101647/Taniguchi-2003-Spatial and temporal distributi.pdf","0","","","","","","",""
2214,2,"R.N. Candella","Rogue waves off the south/southeastern Brazilian coast",2016,"Natural Hazards",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962265709&partnerID=40&md5=4431b3f2c9db1852ed61ba1ee9a6b92d",NA,2214,"8/10/2018","Article","10.1007/s11069-016-2312-2",NA,NA,83,1,211,232,2,1,2,1,2,"english","in corpus","DOI present","english.enl","EndNote",9342,9342,2,"Candella, R. N.","Rogue waves off the south/southeastern Brazilian coast",NA,"211-232",NA,"Query date: 2018-08-10",2016,NA,NA,"83
Cited By (since 2016): 2","https://www.scopus.com/inward/record.url?eid=2-s2.0-84962265709&partnerID=40&md5=4431b3f2c9db1852ed61ba1ee9a6b92dhttps://link.springer.com/content/pdf/10.1007%2Fs11069-016-2312-2.pdfinternal-pdf://1358290889/Candella-2016-Rogue waves off the south_southe.pdf","10.1007/s11069-016-2312-2","1358290889/Candella-2016-Rogue waves off the south_southe.pdf","Brazil","","","","","","",""
