"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","urls","notes","periodical","volume","electronic-resource-num","pdfs"
"576",0,"M. van Afferden, A.M. Hansen, F. Torres-Bejarano","Remediation of the Cencali lagoon, Villahermosa, Tabasco. II. Process design [Saneamiento del vaso Cencali, Villahermosa, Tabasco. II. DiseÒo del proceso]",2008,"Ingenieria Hidraulica en Mexico",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949093515&partnerID=40&md5=c7d5ab5f198f109edeac6fada0189606",NA,576,"8/10/2018","Article","",NA,NA,23,1,57,70,0,0,0,3,10,"spanish","in corpus","DOI absent","spanish.enl","EndNote","970","9700","2","Afferden, M. vanHansen, A. M.Torres-Bejarano, F.","Remediation of the Cencali lagoon, Villahermosa, Tabasco. II. Process design [Saneamiento del vaso Cencali, Villahermosa, Tabasco. II. DiseÒo del proceso]","57-70","Query date: 2018-08-10",2008,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949093515&partnerID=40&md5=c7d5ab5f198f109edeac6fada0189606","23",NA,NA,NA,"manual_download_spanish/11/215976.pdf"
"454",0,"M.C.D. Aguilar","Recent processes of access to drinking water in the urban areas of Mexico: The case of study of the Conurbation Zone of Merida, Yucat·n [Procesos recientes del acceso al agua potable en el MÈxico urbano: El Caso de la Zona Conurbada de MÈrida, Yucat·n]",2009,"Investigaciones Geograficas",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649566622&partnerID=40&md5=7661bf4b01d52bdac1db8dd3aee50f31",NA,454,"8/10/2018","Article","",NA,NA,69,NA,68,84,0,0,0,1,9,"spanish","in corpus","DOI absent","spanish.enl","EndNote","848","8480","2","Aguilar, M. C. D.","Recent processes of access to drinking water in the urban areas of Mexico: The case of study of the Conurbation Zone of Merida, Yucat·n [Procesos recientes del acceso al agua potable en el MÈxico urbano: El Caso de la Zona Conurbada de MÈrida, Yucat·n]","68-84","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649566622&partnerID=40&md5=7661bf4b01d52bdac1db8dd3aee50f31","69",NA,NA,NA,"manual_download_spanish/12/Recent_processes_of_access_to_drinking_water_in_th.pdf"
"825",2,"T. Aguilar, J. CortÈs","Arrecifes coralinos del Oligoceno Superior-Mioceno Inferior, de Turrialba, Costa Rica",2001,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346296790&partnerID=40&md5=f64c318a70960a435ff11878340bcba6",NA,825,"8/10/2018","Article","",NA,NA,49,NA,203,213,2,0.12,1,2,17,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1219","12190","2","Aguilar, T.CortÈs, J.","Arrecifes coralinos del Oligoceno Superior-Mioceno Inferior, de Turrialba, Costa Rica","203-213","Query date: 2018-08-10",2001,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346296790&partnerID=40&md5=f64c318a70960a435ff11878340bcba6","49Cited By (since 2001): 2",NA,NA,NA,"manual_download_spanish/13/26328-69278-1-SM.pdf"
"1031",0,"Ismael Aguilar-Benitez, Perla A. Blanco","Methane recovery and reduction of greenhouse gas emissions: WWTP Nuevo Laredo, Tamaulipas, Mexico",2018,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,4,"8/10/2018","Journal article","10.24850/j-tyca-2018-02-04",NA,NA,9,2,86,114,0,0,0,2,1,"spanish","in corpus","DOI present","spanish.enl","EndNote","10","100","17","Aguilar-Benitez, IsmaelBlanco, Perla A.","Methane recovery and reduction of greenhouse gas emissions: WWTP Nuevo Laredo, Tamaulipas, MexicoTECNOLOGIA Y CIENCIAS DEL AGUA","86-114","2",2018,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","9","10.24850/j-tyca-2018-02-04","manual_download_spanish/14/Aguilar-BenitezBlanco-Jara_2018.pdf"
"1228",0,"Francisco Aguilar-Ortega, Hilario Charcas-Salazar, Juan Rogelio Aguirre-Rivera, Javier Castro-Larragoitia, Jose Luis Flores-Flores","Current state of groundwater exploitation in the Rioverde valley, San Luis Potosi, Mexico",2010,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,201,"8/10/2018","Journal article","",NA,NA,1,4,137,148,0,0,0,5,8,"spanish","in corpus","DOI absent","spanish.enl","EndNote","460","4600","17","Aguilar-Ortega, FranciscoCharcas-Salazar, HilarioAguirre-Rivera, Juan RogelioCastro-Larragoitia, JavierFlores-Flores, Jose Luis","Current state of groundwater exploitation in the Rioverde valley, San Luis Potosi, MexicoTECNOLOGIA Y CIENCIAS DEL AGUA","137-148","4",2010,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","1",NA,"manual_download_spanish/15/v1n4a8.pdf"
"858",11,"B. Aguilar-Palomino, C. PÈrez Reyes, F. Galv·n-MagaÒa, L.A. AbitÌa-Cardenas","Ictiofauna de la BahÌa de Navidad, Jalisco, MÈxico",2001,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041695774&partnerID=40&md5=e59082a1f73d3a5ee82ac2d6c9be3499",NA,858,"8/10/2018","Article","",NA,NA,49,1,173,190,11,0.65,3,4,17,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1252","12520","2","Aguilar-Palomino, B.Reyes, C. PÈrezGalv·n-MagaÒa, F.AbitÌa-Cardenas, L. A.","Ictiofauna de la BahÌa de Navidad, Jalisco, MÈxico","173-190","Query date: 2018-08-10",2001,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041695774&partnerID=40&md5=e59082a1f73d3a5ee82ac2d6c9be3499","49Cited By (since 2001): 11",NA,NA,NA,"manual_download_spanish/16/16865-34024-1-SM.pdf"
"131",2,"N. Aguilar-Rivera, M.A. Siller, L.A.O. Vargas","Water management as a limiting factor of sugarcane productivity in Mexico [GestiÛn del agua como factor limitante de productividad caÒera en MÈxico]",2015,"Revista de Geografia Norte Grande",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946097612&partnerID=40&md5=d2666ecd8b7e4eba1e6def8ccb0adc58",NA,131,"8/10/2018","Article","",NA,NA,60,NA,135,152,2,0.67,1,3,3,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","319","3190","2","Aguilar-Rivera, N.Siller, M. A.Vargas, L. A. O.","Water management as a limiting factor of sugarcane productivity in Mexico [GestiÛn del agua como factor limitante de productividad caÒera en MÈxico]","135-152","Query date: 2018-08-10",2015,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946097612&partnerID=40&md5=d2666ecd8b7e4eba1e6def8ccb0adc58","60Cited By (since 2015): 2",NA,NA,NA,NA
"981",3,"A. Aguilera, J.E. Corredor, J.M. Morell","Nitrous oxide in the northwestern Caribbean Sea [Oxido nitroso en el Mar Caribe nororiental]",1992,"Caribbean Journal of Science",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027063145&partnerID=40&md5=17c88ef5ec21a7b619c966d26f2064a0",NA,981,"8/10/2018","Article","",NA,NA,28,1,70,80,3,0.12,1,3,26,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1375","13750","2","Aguilera, A.Corredor, J. E.Morell, J. M.","Nitrous oxide in the northwestern Caribbean Sea [Oxido nitroso en el Mar Caribe nororiental]","70-80","Query date: 2018-08-10",1992,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027063145&partnerID=40&md5=17c88ef5ec21a7b619c966d26f2064a0","28Cited By (since 1992): 3",NA,NA,NA,"manual_download_spanish/18/N2OCARIBBEANSEABAUZABOOK.pdf"
"770",2,"R. Aguirre-GÛmez, O. SalmerÛn, R. ¡lvarez","Effects of ENSO off the southwest coast of Mexico, 1996-1999",2003,"Geofisica Internacional",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17544399857&partnerID=40&md5=76ca96e35eb726d9ea4e68eb8784e179",NA,770,"8/10/2018","Article","",NA,NA,42,3,377,388,2,0.13,1,3,15,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1164","11640","2","Aguirre-GÛmez, R.SalmerÛn, O.¡lvarez, R.","Effects of ENSO off the southwest coast of Mexico, 1996-1999","377-388","Query date: 2018-08-10",2003,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-17544399857&partnerID=40&md5=76ca96e35eb726d9ea4e68eb8784e179","42Cited By (since 2003): 2",NA,NA,NA,"manual_download_spanish/19/aguirre.pdf"
"679",14,"A. Aguirre-LeÛn, S. DÌaz-Ruiz","Size structure, gonadic development and diet of the fish Diapterus rhombeus (Gerreidae) in the Pom-Atasta fluvial-deltaic system, Campeche, Mexico [Estructura de tallas, madurez gon·dica y alimentaciÛn del pez Diapterus rhombeus (Gerreidae) en el sistema fluvio-deltaico Pom-Atasta, Campeche, MÈxico]",2006,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47749103832&partnerID=40&md5=019d2646c13ec1ef5e2eb35125297223",NA,679,"8/10/2018","Article","",NA,NA,54,2,599,611,14,1.17,7,2,12,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1073","10730","2","Aguirre-LeÛn, A.DÌaz-Ruiz, S.","Size structure, gonadic development and diet of the fish Diapterus rhombeus (Gerreidae) in the Pom-Atasta fluvial-deltaic system, Campeche, Mexico [Estructura de tallas, madurez gon·dica y alimentaciÛn del pez Diapterus rhombeus (Gerreidae) en el sistema fluvio-deltaico Pom-Atasta, Campeche, MÈxico]","599-611","Query date: 2018-08-10",2006,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47749103832&partnerID=40&md5=019d2646c13ec1ef5e2eb35125297223","54Cited By (since 2006): 14",NA,NA,NA,"manual_download_spanish/20/13927-24034-1-SM.pdf"
"464",4,"M. Ahumada, P. Arana","Artisanal fishing for golden crab (Chaceon chilensis) off the Juan Fern·ndez archipelago, Chile [Pesca artesanal de cangrejo dorado (Chaceon chilensis) en el archipiÈlago de Juan Fern·ndez, Chile]",2009,"Latin American Journal of Aquatic Research",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76549098243&doi=10.3856%2fvol37-issue3-fulltex-1&partnerID=40&md5=8217c3528d9db272368267d70aacc9b0",NA,464,"8/10/2018","Article","10.3856/vol37-issue3-fulltex-1",NA,NA,37,3,285,296,4,0.44,2,2,9,"spanish","in corpus","DOI present","spanish.enl","EndNote","858","858","2","Ahumada, M.Arana, P.","Artisanal fishing for golden crab (Chaceon chilensis) off the Juan Fern·ndez archipelago, Chile [Pesca artesanal de cangrejo dorado (Chaceon chilensis) en el archipiÈlago de Juan Fern·ndez, Chile]","285-296","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76549098243&doi=10.3856%2fvol37-issue3-fulltex-1&partnerID=40&md5=8217c3528d9db272368267d70aacc9b0internal-pdf://1326137339/Ahumada-2009-Artisanal fishing for golden crab.pdf","37Cited By (since 2009): 4",NA,NA,"10.3856/vol37-issue3-fulltex-1","1326137339/Ahumada-2009-Artisanal fishing for golden crab.pdf"
"165",3,"Y.P. Ahumada-Santos, M.E. B·ez-Flores, S.P. DÌaz-Camacho, M.J. Uribe-Beltr·n, G. LÛpez-Angulo, R. Vega-AviÒa, F.A. Ch·vez-Duran, J. Montes-Avila, O. Carranza-DÌaz, M. Mˆder, P. Kuschk, F. Delgado-Vargas","Spatiotemporal distribution of the bacterial contamination of agricultural and domestic wastewater discharged to a drainage ditch (Sinaloa, Mexico) [DistribuciÛn espaciotemporal de la contaminaciÛn bacteriana del agua residual agrÌcola y domÈstica descargada a un canal de drenaje (Sinaloa, MÈxico)]",2014,"Ciencias Marinas",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924338382&doi=10.7773%2fcm.v40i4.2456&partnerID=40&md5=e42d0fa5d4b81d37e6f926d8d1b15473",NA,165,"8/10/2018","Article","10.7773/cm.v40i4.2456",NA,NA,40,4,277,289,3,0.75,0,12,4,"spanish","absent from corpus","DOI present","spanish.enl","EndNote","388","3880","2","Ahumada-Santos, Y. P.B·ez-Flores, M. E.DÌaz-Camacho, S. P.Uribe-Beltr·n, M. J.LÛpez-Angulo, G.Vega-AviÒa, R.Ch·vez-Duran, F. A.Montes-Avila, J.Carranza-DÌaz, O.Mˆder, M.Kuschk, P.Delgado-Vargas, F.","Spatiotemporal distribution of the bacterial contamination of agricultural and domestic wastewater discharged to a drainage ditch (Sinaloa, Mexico) [DistribuciÛn espaciotemporal de la contaminaciÛn bacteriana del agua residual agrÌcola y domÈstica descargada a un canal de drenaje (Sinaloa, MÈxico)]","277-289","Query date: 2018-08-10",2014,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924338382&doi=10.7773%2fcm.v40i4.2456&partnerID=40&md5=e42d0fa5d4b81d37e6f926d8d1b15473","40Cited By (since 2014): 3",NA,NA,"10.7773/cm.v40i4.2456",NA
"799",19,"M.A. Ahumada-Sempoal, S.J. Serrano-Guzm·n, N. Ruiz-GarcÌa","Abundancia, estructura poblacional y crecimiento de Atrina maura (Bivalvia: Pinnidae) en una laguna costera tropical del PacÌfi;co mexicano",2002,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042235426&partnerID=40&md5=de9c8a5339899416726c67e1e96729df",NA,799,"8/10/2018","Article","",NA,NA,50,3,1091,1100,19,1.19,6,3,16,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1193","11930","2","Ahumada-Sempoal, M. A.Serrano-Guzm·n, S. J.Ruiz-GarcÌa, N.","Abundancia, estructura poblacional y crecimiento de Atrina maura (Bivalvia: Pinnidae) en una laguna costera tropical del PacÌfi;co mexicano","1091-1100","Query date: 2018-08-10",2002,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042235426&partnerID=40&md5=de9c8a5339899416726c67e1e96729df","50Cited By (since 2002): 19",NA,NA,NA,"manual_download_spanish/23/16628-66533-1-PB.pdf"
"1067",0,"Felipe de Alba, Juana Martin","Indigenous People, Citizenship Practices and Water Conflicts in Metropolitan Mexico City: Some Paradoxes",2017,"AGUA Y TERRITORIO",NA,NA,NA,40,"8/10/2018","Journal article","10.17561/at.v0i9.3480",NA,NA,NA,9,91,104,0,0,0,2,1,"spanish","in corpus","DOI present","spanish.enl","EndNote","107","107","17","Alba, Felipe deMartin, Juana","Indigenous People, Citizenship Practices and Water Conflicts in Metropolitan Mexico City: Some ParadoxesAGUA Y TERRITORIO","91-104","9",2017,"NA","NA","NAhttps://revistaselectronicas.ujaen.es/index.php/atma/article/download/3480/2810internal-pdf://2146264265/Alba-2017-Indigenous People, Citizenship Pract.pdf",NA,"AGUA Y TERRITORIO",NA,"10.17561/at.v0i9.3480","2146264265/Alba-2017-Indigenous People, Citizenship Pract.pdf"
"1012",0,"Horacio Ramirez de Alba","Historic Site of Reinforced Concrete in Mexico City. [UN SITIO HISTORICO DEL CONCRETO REFORZADO EN LA CIUDAD DE MEXICO.]",1984,"Revista IMCYC (Instituto Mexicano del Cemento y del Concreto)",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021401160&partnerID=40&md5=50129e79228ccf8deb6be206eeac2962",NA,1012,"8/10/2018","Article","",NA,NA,22,155,17,30,0,0,0,1,34,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","1406","14060","2","Alba, Horacio Ramirez de","Historic Site of Reinforced Concrete in Mexico City. [UN SITIO HISTORICO DEL CONCRETO REFORZADO EN LA CIUDAD DE MEXICO.]","17-30","Query date: 2018-08-10",1984,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021401160&partnerID=40&md5=50129e79228ccf8deb6be206eeac2962","22",NA,NA,NA,NA
