"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","urls","notes","periodical","volume","electronic-resource-num","pdfs"
"1228",0,"Francisco Aguilar-Ortega, Hilario Charcas-Salazar, Juan Rogelio Aguirre-Rivera, Javier Castro-Larragoitia, Jose Luis Flores-Flores","Current state of groundwater exploitation in the Rioverde valley, San Luis Potosi, Mexico",2010,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,201,"8/10/2018","Journal article","",NA,NA,1,4,137,148,0,0,0,5,8,"spanish","in corpus","DOI absent","spanish.enl","EndNote","460","4600","17","Aguilar-Ortega, FranciscoCharcas-Salazar, HilarioAguirre-Rivera, Juan RogelioCastro-Larragoitia, JavierFlores-Flores, Jose Luis","Current state of groundwater exploitation in the Rioverde valley, San Luis Potosi, MexicoTECNOLOGIA Y CIENCIAS DEL AGUA","137-148","4",2010,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","1",NA,"manual_download_spanish/15/v1n4a8.pdf"
"858",11,"B. Aguilar-Palomino, C. PÈrez Reyes, F. Galv·n-MagaÒa, L.A. AbitÌa-Cardenas","Ictiofauna de la BahÌa de Navidad, Jalisco, MÈxico",2001,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041695774&partnerID=40&md5=e59082a1f73d3a5ee82ac2d6c9be3499",NA,858,"8/10/2018","Article","",NA,NA,49,1,173,190,11,0.65,3,4,17,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1252","12520","2","Aguilar-Palomino, B.Reyes, C. PÈrezGalv·n-MagaÒa, F.AbitÌa-Cardenas, L. A.","Ictiofauna de la BahÌa de Navidad, Jalisco, MÈxico","173-190","Query date: 2018-08-10",2001,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041695774&partnerID=40&md5=e59082a1f73d3a5ee82ac2d6c9be3499","49Cited By (since 2001): 11",NA,NA,NA,"manual_download_spanish/16/16865-34024-1-SM.pdf"
"981",3,"A. Aguilera, J.E. Corredor, J.M. Morell","Nitrous oxide in the northwestern Caribbean Sea [Oxido nitroso en el Mar Caribe nororiental]",1992,"Caribbean Journal of Science",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027063145&partnerID=40&md5=17c88ef5ec21a7b619c966d26f2064a0",NA,981,"8/10/2018","Article","",NA,NA,28,1,70,80,3,0.12,1,3,26,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1375","13750","2","Aguilera, A.Corredor, J. E.Morell, J. M.","Nitrous oxide in the northwestern Caribbean Sea [Oxido nitroso en el Mar Caribe nororiental]","70-80","Query date: 2018-08-10",1992,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027063145&partnerID=40&md5=17c88ef5ec21a7b619c966d26f2064a0","28Cited By (since 1992): 3",NA,NA,NA,"manual_download_spanish/18/N2OCARIBBEANSEABAUZABOOK.pdf"
"770",2,"R. Aguirre-GÛmez, O. SalmerÛn, R. ¡lvarez","Effects of ENSO off the southwest coast of Mexico, 1996-1999",2003,"Geofisica Internacional",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17544399857&partnerID=40&md5=76ca96e35eb726d9ea4e68eb8784e179",NA,770,"8/10/2018","Article","",NA,NA,42,3,377,388,2,0.13,1,3,15,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1164","11640","2","Aguirre-GÛmez, R.SalmerÛn, O.¡lvarez, R.","Effects of ENSO off the southwest coast of Mexico, 1996-1999","377-388","Query date: 2018-08-10",2003,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-17544399857&partnerID=40&md5=76ca96e35eb726d9ea4e68eb8784e179","42Cited By (since 2003): 2",NA,NA,NA,"manual_download_spanish/19/aguirre.pdf"
"679",14,"A. Aguirre-LeÛn, S. DÌaz-Ruiz","Size structure, gonadic development and diet of the fish Diapterus rhombeus (Gerreidae) in the Pom-Atasta fluvial-deltaic system, Campeche, Mexico [Estructura de tallas, madurez gon·dica y alimentaciÛn del pez Diapterus rhombeus (Gerreidae) en el sistema fluvio-deltaico Pom-Atasta, Campeche, MÈxico]",2006,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47749103832&partnerID=40&md5=019d2646c13ec1ef5e2eb35125297223",NA,679,"8/10/2018","Article","",NA,NA,54,2,599,611,14,1.17,7,2,12,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1073","10730","2","Aguirre-LeÛn, A.DÌaz-Ruiz, S.","Size structure, gonadic development and diet of the fish Diapterus rhombeus (Gerreidae) in the Pom-Atasta fluvial-deltaic system, Campeche, Mexico [Estructura de tallas, madurez gon·dica y alimentaciÛn del pez Diapterus rhombeus (Gerreidae) en el sistema fluvio-deltaico Pom-Atasta, Campeche, MÈxico]","599-611","Query date: 2018-08-10",2006,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47749103832&partnerID=40&md5=019d2646c13ec1ef5e2eb35125297223","54Cited By (since 2006): 14",NA,NA,NA,"manual_download_spanish/20/13927-24034-1-SM.pdf"
"464",4,"M. Ahumada, P. Arana","Artisanal fishing for golden crab (Chaceon chilensis) off the Juan Fern·ndez archipelago, Chile [Pesca artesanal de cangrejo dorado (Chaceon chilensis) en el archipiÈlago de Juan Fern·ndez, Chile]",2009,"Latin American Journal of Aquatic Research",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76549098243&doi=10.3856%2fvol37-issue3-fulltex-1&partnerID=40&md5=8217c3528d9db272368267d70aacc9b0",NA,464,"8/10/2018","Article","10.3856/vol37-issue3-fulltex-1",NA,NA,37,3,285,296,4,0.44,2,2,9,"spanish","in corpus","DOI present","spanish.enl","EndNote","858","858","2","Ahumada, M.Arana, P.","Artisanal fishing for golden crab (Chaceon chilensis) off the Juan Fern·ndez archipelago, Chile [Pesca artesanal de cangrejo dorado (Chaceon chilensis) en el archipiÈlago de Juan Fern·ndez, Chile]","285-296","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76549098243&doi=10.3856%2fvol37-issue3-fulltex-1&partnerID=40&md5=8217c3528d9db272368267d70aacc9b0internal-pdf://1326137339/Ahumada-2009-Artisanal fishing for golden crab.pdf","37Cited By (since 2009): 4",NA,NA,"10.3856/vol37-issue3-fulltex-1","1326137339/Ahumada-2009-Artisanal fishing for golden crab.pdf"
"799",19,"M.A. Ahumada-Sempoal, S.J. Serrano-Guzm·n, N. Ruiz-GarcÌa","Abundancia, estructura poblacional y crecimiento de Atrina maura (Bivalvia: Pinnidae) en una laguna costera tropical del PacÌfi;co mexicano",2002,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042235426&partnerID=40&md5=de9c8a5339899416726c67e1e96729df",NA,799,"8/10/2018","Article","",NA,NA,50,3,1091,1100,19,1.19,6,3,16,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1193","11930","2","Ahumada-Sempoal, M. A.Serrano-Guzm·n, S. J.Ruiz-GarcÌa, N.","Abundancia, estructura poblacional y crecimiento de Atrina maura (Bivalvia: Pinnidae) en una laguna costera tropical del PacÌfi;co mexicano","1091-1100","Query date: 2018-08-10",2002,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042235426&partnerID=40&md5=de9c8a5339899416726c67e1e96729df","50Cited By (since 2002): 19",NA,NA,NA,"manual_download_spanish/23/16628-66533-1-PB.pdf"
"1067",0,"Felipe de Alba, Juana Martin","Indigenous People, Citizenship Practices and Water Conflicts in Metropolitan Mexico City: Some Paradoxes",2017,"AGUA Y TERRITORIO",NA,NA,NA,40,"8/10/2018","Journal article","10.17561/at.v0i9.3480",NA,NA,NA,9,91,104,0,0,0,2,1,"spanish","in corpus","DOI present","spanish.enl","EndNote","107","107","17","Alba, Felipe deMartin, Juana","Indigenous People, Citizenship Practices and Water Conflicts in Metropolitan Mexico City: Some ParadoxesAGUA Y TERRITORIO","91-104","9",2017,"NA","NA","NAhttps://revistaselectronicas.ujaen.es/index.php/atma/article/download/3480/2810internal-pdf://2146264265/Alba-2017-Indigenous People, Citizenship Pract.pdf",NA,"AGUA Y TERRITORIO",NA,"10.17561/at.v0i9.3480","2146264265/Alba-2017-Indigenous People, Citizenship Pract.pdf"
"106",1,"F.A.M. Alberto, V.G. Rogelio","Temporal and frequential analysis of the record of water level in the G-1-17 borehole for monitoring the shallow aquifer near the Cerro Prieto Geothermal Field [An·lisis temporal y frecuencial del registro de nivel de agua en el pozo G-1-17 de monitoreo del acuÌfero superficial en inmediaciones del Campo GeotÈrmico de Cerro Prieto]",2016,"Geotermia",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958530859&partnerID=40&md5=f021924777dde0bf3e0e77c2e9418f31",NA,106,"8/10/2018","Article","",NA,NA,29,1,15,27,1,0.5,1,2,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","259","2590","2","Alberto, F. A. M.Rogelio, V. G.","Temporal and frequential analysis of the record of water level in the G-1-17 borehole for monitoring the shallow aquifer near the Cerro Prieto Geothermal Field [An·lisis temporal y frecuencial del registro de nivel de agua en el pozo G-1-17 de monitoreo del acuÌfero superficial en inmediaciones del Campo GeotÈrmico de Cerro Prieto]","15-27","Query date: 2018-08-10",2016,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958530859&partnerID=40&md5=f021924777dde0bf3e0e77c2e9418f31","29Cited By (since 2016): 1",NA,NA,NA,"manual_download_spanish/26/Fuentes-ArreazolaVazquez-Gonzalez_Geotermia_Vol_29-1_portada.pdf"
"771",11,"J. Alcocer, A. Lugo","Effects of El NiÒo on the dynamics of Lake Alchichica, central Mexico",2003,"Geofisica Internacional",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141954837&partnerID=40&md5=8e37867845b46fa2977e1cda8d1b1319",NA,771,"8/10/2018","Article","",NA,NA,42,3,523,528,11,0.73,6,2,15,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1165","11650","2","Alcocer, J.Lugo, A.","Effects of El NiÒo on the dynamics of Lake Alchichica, central Mexico","523-528","Query date: 2018-08-10",2003,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141954837&partnerID=40&md5=8e37867845b46fa2977e1cda8d1b1319","42Cited By (since 2003): 11",NA,NA,NA,"manual_download_spanish/28/alcocer.pdf"
"1371",0,"V√≠ctor Hugo Alcocer-Yamanaka, Jos√© Manuel Rodr√≠guez-Varela, V√≠ctor Javier Bourguett-Ortiz, Oscar Jes√∫s Llaguno-Guilberto, Pedro Misael Albornoz-G√≥ngora","Methodology for Generating Flood Risk Maps in Urban Areas",2016,"Tecnolog√≠a y ciencias del agua",NA,NA,NA,17,"8/10/2018","Journal article","",NA,NA,7,5,33,55,0,0,0,5,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","52","520","17","Alcocer-Yamanaka, V√≠ctor HugoRodr√≠guez-Varela, Jos√© ManuelBourguett-Ortiz, V√≠ctor JavierLlaguno-Guilberto, Oscar Jes√∫sAlbornoz-G√≥ngora, Pedro Misael","Methodology for Generating Flood Risk Maps in Urban AreasTecnolog√≠a y ciencias del agua","33-55","5",2016,"NA","NA","NA",NA,"Tecnolog√≠a y ciencias del agua","7",NA,"manual_download_spanish/29/2007-2422-tca-7-05-00033.pdf"
"480",1,"V.H. Alcocer-Yamanaka, ¡.A. Aldama, V. Tzatchkov, A. Espinosa-Gayosso, F.I. ArreguÌn-CortÈs","Spectral analysis of residential water demand [An·lisis espectral de consumo domÈstico de agua potable]",2009,"Ingenieria Hidraulica en Mexico",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72349098556&partnerID=40&md5=ebfc82e4b466623b614bd98ffe8f1131",NA,480,"8/10/2018","Article","",NA,NA,24,4,105,121,1,0.11,0,5,9,"spanish","in corpus","DOI absent","spanish.enl","EndNote","874","8740","2","Alcocer-Yamanaka, V. H.Aldama, ¡ A.Tzatchkov, V.Espinosa-Gayosso, A.ArreguÌn-CortÈs, F. I.","Spectral analysis of residential water demand [An·lisis espectral de consumo domÈstico de agua potable]","105-121","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72349098556&partnerID=40&md5=ebfc82e4b466623b614bd98ffe8f1131","24Cited By (since 2009): 1",NA,NA,NA,"manual_download_spanish/30/RIH_216145.pdf"
"67",0,"V.H. Alcocer-Yamanaka, J.M. RodrÌguez-Varela, V.J. Bourguett-Ortiz, O.J. Llaguno-Guilberto, P.M. Albornoz-GÛngora","Methodology for generating flood risk maps in urban areas [MetodologÌa para la generaciÛn de mapas de riesgo por inundaciÛn en zonas urbanas]",2016,"Tecnologia y Ciencias del Agua",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030552252&partnerID=40&md5=97a0dd7d9106bf3ca015b8317d539e42",NA,67,"8/10/2018","Article","",NA,NA,7,5,33,55,0,0,0,5,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","171","1710","2","Alcocer-Yamanaka, V. H.RodrÌguez-Varela, J. M.Bourguett-Ortiz, V. J.Llaguno-Guilberto, O. J.Albornoz-GÛngora, P. M.","Methodology for generating flood risk maps in urban areas [MetodologÌa para la generaciÛn de mapas de riesgo por inundaciÛn en zonas urbanas]","33-55","Query date: 2018-08-10",2016,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030552252&partnerID=40&md5=97a0dd7d9106bf3ca015b8317d539e42","7",NA,NA,NA,"manual_download_spanish/31/2007-2422-tca-7-05-00033.pdf"
"745",4,"V.H. Alcocer-Yamanaka, V. Tzatchkov, F.I. Arreguin-CortÈs","Distribution network water quality model [Modelo de calidad del agua en redes de distribuciÛn]",2004,"Ingenieria Hidraulica en Mexico",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442637508&partnerID=40&md5=07a0c3735ee7d2fc3005d5569ce63f1e",NA,745,"8/10/2018","Article","",NA,NA,19,2,77,88,4,0.29,1,3,14,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1139","11390","2","Alcocer-Yamanaka, V. H.Tzatchkov, V.Arreguin-CortÈs, F. I.","Distribution network water quality model [Modelo de calidad del agua en redes de distribuciÛn]","77-88","Query date: 2018-08-10",2004,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442637508&partnerID=40&md5=07a0c3735ee7d2fc3005d5569ce63f1e","19Cited By (since 2004): 4",NA,NA,NA,"manual_download_spanish/33/1001-1101-1-PB.pdf"
"1373",0,"Alvaro A. Aldama","Three-Part Descomposition of Natural Flows: Application to the Colorado River Drought Characterization",2016,"Tecnolog√≠a y ciencias del agua",NA,NA,NA,22,"8/10/2018","Journal article","",NA,NA,7,5,167,195,0,0,0,1,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","63","630","17","Aldama, Alvaro A.","Three-Part Descomposition of Natural Flows: Application to the Colorado River Drought CharacterizationTecnolog√≠a y ciencias del agua","167-195","5",2016,"NA","NA","NA",NA,"Tecnolog√≠a y ciencias del agua","7",NA,"manual_download_spanish/35/2007-2422-tca-7-05-00167 (1).pdf"
"1087",0,"Alvaro A. Aldama","Three-Part Decomposition of Natural Flows: Application to the Colorado River Drought Characterization",2016,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,60,"8/10/2018","Journal article","",NA,NA,7,5,167,196,0,0,0,1,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","156","1560","17","Aldama, Alvaro A.","Three-Part Decomposition of Natural Flows: Application to the Colorado River Drought CharacterizationTECNOLOGIA Y CIENCIAS DEL AGUA","167-196","5",2016,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","7",NA,"manual_download_spanish/36/353549829011.pdf"
"66",0,"¡.A. Aldama","Three-part decomposition of natural flows: Application to the Colorado River drought characterization. Application [An·lisis tripartita de escurrimientos naturales: aplicaciÛn a la caracterizaciÛn de sequÌas en el rÌo Colorado]",2016,"Tecnologia y Ciencias del Agua",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030569927&partnerID=40&md5=0953147843e352348a50d47ad1f3d3a8",NA,66,"8/10/2018","Article","",NA,NA,7,5,167,195,0,0,0,1,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","170","1700","2","Aldama, ¡ A.","Three-part decomposition of natural flows: Application to the Colorado River drought characterization. Application [An·lisis tripartita de escurrimientos naturales: aplicaciÛn a la caracterizaciÛn de sequÌas en el rÌo Colorado]","167-195","Query date: 2018-08-10",2016,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030569927&partnerID=40&md5=0953147843e352348a50d47ad1f3d3a8","7",NA,NA,NA,"manual_download_spanish/37/2007-2422-tca-7-05-00167.pdf"
